,2020,2021,2022,2023
Net Income,57411000000.0,94680000000.0,99803000000.0,96995000000.0
Depreciation and Amortization,11056000000.0,11284000000.0,11104000000.0,11519000000.0
Deferred Income Tax,-215000000.0,-4774000000.0,895000000.0,5195000000.0
Stock Based Compensation,6829000000.0,7906000000.0,9038000000.0,10833000000.0
Change in Working Capital,5690000000.0,-4911000000.0,1200000000.0,-6577000000.0
Accounts Receivables,6917000000.0,-10125000000.0,-1823000000.0,-1688000000.0
Inventory,-127000000.0,-2642000000.0,1484000000.0,-1618000000.0
Accounts Payables,-4062000000.0,12326000000.0,9448000000.0,-1889000000.0
Other Working Capital,2962000000.0,-4470000000.0,-7909000000.0,5195000000.0
Other Non Cash Items,-97000000.0,-147000000.0,111000000.0,-7422000000.0
Cash Flow from Operations,80674000000.0,104038000000.0,122151000000.0,110543000000.0
"Property, Plant and Equipment",-7309000000.0,-11085000000.0,-10708000000.0,-10959000000.0
Acquisitions,-1524000000.0,-33000000.0,-306000000.0,0.0
Purchases of Investments,-115148000000.0,-109558000000.0,-76923000000.0,-29513000000.0
Sales of Investments,120483000000.0,106483000000.0,67363000000.0,45514000000.0
Other Investing Activities,-791000000.0,-352000000.0,-1780000000.0,-1337000000.0
Cash Flow from Investing,-4289000000.0,-14545000000.0,-22354000000.0,3705000000.0
Debt Repayment,-13592000000.0,-8750000000.0,-9543000000.0,-11151000000.0
Common Stock Issued,880000000.0,1105000000.0,0.0,1250000000.0
Common Stock Purchased,-72358000000.0,-85971000000.0,-89402000000.0,-77550000000.0
Dividends Paid,-14081000000.0,-14467000000.0,-14841000000.0,-15025000000.0
Other Financing Activities,12331000000.0,14730000000.0,3037000000.0,-6012000000.0
Cash Flow from Financing,-86820000000.0,-93353000000.0,-110749000000.0,-108488000000.0
Forex Changes on Cash,0.0,0.0,0.0,0.0
Net Change in Cash,-10435000000.0,-3860000000.0,-10952000000.0,5760000000.0
Cash End of Period,39789000000.0,35929000000.0,24977000000.0,30737000000.0
Cash Beginning of Period,50224000000.0,39789000000.0,35929000000.0,24977000000.0
Operating Cash Flow,80674000000.0,104038000000.0,122151000000.0,110543000000.0
Capital Expenditure,-7309000000.0,-11085000000.0,-10708000000.0,-10959000000.0
Free Cash Flow,73365000000.0,92953000000.0,111443000000.0,99584000000.0
