,2020,2021,2022,2023
Gross Margin,0.3823,0.4178,0.4331,0.4413
Operating Margin,0.2415,0.2978,0.3029,0.2982
Net Profit Margin,0.2091,0.2588,0.2531,0.2531
Interest Coverage Ratio,26.921,45.4567,44.538,31.9908
Income Before Tax Profit Margin,0.2444,0.2985,0.302,0.2967
Effective Tax Rate,0.1443,0.133,0.162,0.1472
Return on Assets (ROA),,0.2806,0.2836,0.275
Return on Equity (ROE),,1.4744,1.7546,1.7195
Return on Invested Capital (ROIC),,0.5177,0.5359,0.5555
Return on Capital Employed (ROCE),0.3202,0.496,0.6139,0.5677
Return on Tangible Assets,,0.155,0.1543,0.1495
Income Quality Ratio,1.4052,1.0988,1.2239,1.1397
Net Income per EBT,0.8557,0.867,0.838,0.8528
Free Cash Flow to Operating Cash Flow Ratio,0.9094,0.8935,0.9123,0.9009
EBT to EBIT Ratio,0.9589,0.9764,0.976,0.9666
EBIT to Revenue,0.2549,0.3058,0.3095,0.307
