,2020,2021,2022,2023
Net Income,44281000000.0,61271000000.0,72738000000.0,72361000000.0
Depreciation and Amortization,12796000000.0,11686000000.0,14460000000.0,13861000000.0
Deferred Income Tax,-3620000000.0,-150000000.0,-5702000000.0,-6059000000.0
Stock Based Compensation,5289000000.0,6118000000.0,7502000000.0,9611000000.0
Change in Working Capital,2148000000.0,-936000000.0,446000000.0,-2388000000.0
Accounts Receivables,-2577000000.0,-6481000000.0,-6834000000.0,-4087000000.0
Inventory,168000000.0,-737000000.0,-1123000000.0,1242000000.0
Accounts Payables,3018000000.0,2798000000.0,2943000000.0,-2721000000.0
Other Working Capital,1539000000.0,3484000000.0,5460000000.0,3178000000.0
Other Non Cash Items,-219000000.0,-1249000000.0,-409000000.0,196000000.0
Cash Flow from Operations,60675000000.0,76740000000.0,89035000000.0,87582000000.0
"Property, Plant and Equipment",-15441000000.0,-20622000000.0,-23886000000.0,-28107000000.0
Acquisitions,-2521000000.0,-8909000000.0,-22038000000.0,-1670000000.0
Purchases of Investments,-77190000000.0,-62924000000.0,-26456000000.0,-37651000000.0
Sales of Investments,84170000000.0,65800000000.0,44894000000.0,47864000000.0
Other Investing Activities,-1241000000.0,-922000000.0,-2825000000.0,-3116000000.0
Cash Flow from Investing,-12223000000.0,-27577000000.0,-30311000000.0,-22680000000.0
Debt Repayment,-5518000000.0,-3750000000.0,-9023000000.0,-2750000000.0
Common Stock Issued,1343000000.0,1693000000.0,1841000000.0,1866000000.0
Common Stock Purchased,-22968000000.0,-27385000000.0,-32696000000.0,-22245000000.0
Dividends Paid,-15137000000.0,-16521000000.0,-18135000000.0,-19800000000.0
Other Financing Activities,-3751000000.0,-2523000000.0,-863000000.0,-1006000000.0
Cash Flow from Financing,-46031000000.0,-48486000000.0,-58876000000.0,-43935000000.0
Forex Changes on Cash,-201000000.0,-29000000.0,-141000000.0,-194000000.0
Net Change in Cash,2220000000.0,648000000.0,-293000000.0,20773000000.0
Cash End of Period,13576000000.0,14224000000.0,13931000000.0,34704000000.0
Cash Beginning of Period,11356000000.0,13576000000.0,14224000000.0,13931000000.0
Operating Cash Flow,60675000000.0,76740000000.0,89035000000.0,87582000000.0
Capital Expenditure,-15441000000.0,-20622000000.0,-23886000000.0,-28107000000.0
Free Cash Flow,45234000000.0,56118000000.0,65149000000.0,59475000000.0
