,2020,2021,2022,2023
Revenue,143015000000.0,168088000000.0,198270000000.0,211915000000.0
Cost of Goods Sold,46078000000.0,52232000000.0,62650000000.0,65863000000.0
Gross Profit,96937000000.0,115856000000.0,135620000000.0,146052000000.0
Gross Profit Ratio,0.6778,0.6893,0.684,0.6892
Research and Development Expenses,19269000000.0,20716000000.0,24512000000.0,27195000000.0
General and Administrative Expenses,5111000000.0,5107000000.0,5900000000.0,7575000000.0
Selling and Marketing Expenses,19598000000.0,20117000000.0,21825000000.0,22759000000.0
"Selling, General and Administrative Expenses",24709000000.0,25224000000.0,27725000000.0,30334000000.0
Other Expenses,77000000.0,1186000000.0,333000000.0,788000000.0
Operating Expenses,43990000000.0,44555000000.0,51951000000.0,57740000000.0
Cost and Expenses,90068000000.0,96787000000.0,114601000000.0,123603000000.0
Interest Income,2680000000.0,2131000000.0,2094000000.0,2994000000.0
Interest Expense,2591000000.0,2346000000.0,2063000000.0,1968000000.0
Depreciation and Amortization,12300000000.0,10900000000.0,14600000000.0,13500000000.0
EBITDA,65259000000.0,80816000000.0,97983000000.0,102023000000.0
EBITDA Ratio,0.4563,0.4808,0.4942,0.4814
Operating Income,52959000000.0,69916000000.0,83383000000.0,88523000000.0
Operating Income Ratio,0.3703,0.4159,0.4206,0.4177
Total Other Income,77000000.0,1186000000.0,333000000.0,788000000.0
Income Before Tax,53036000000.0,71102000000.0,83716000000.0,89311000000.0
Income Before Tax Ratio,0.3708,0.423,0.4222,0.4214
Income Tax Expense,8755000000.0,9831000000.0,10978000000.0,16950000000.0
Net Income,44281000000.0,61271000000.0,72738000000.0,72361000000.0
Net Income Ratio,0.3096,0.3645,0.3669,0.3415
EPS,5.82,8.12,9.7,9.72
EPS Diluted,5.76,8.05,9.65,9.68
Weighted Average Shares,7687673611.0,7611304347.0,7537616580.0,7475309917.0
Weighted Average Shares Diluted,7683000000.0,7608000000.0,7540000000.0,7472000000.0
