,2020,2021,2022,2023
Gross Margin,0.6778,0.6893,0.684,0.6892
Operating Margin,0.3703,0.4159,0.4206,0.4177
Net Profit Margin,0.3096,0.3645,0.3669,0.3415
Interest Coverage Ratio,25.1868,34.4484,47.4954,51.841
Income Before Tax Profit Margin,0.3708,0.423,0.4222,0.4214
Effective Tax Rate,0.1651,0.1383,0.1311,0.1898
Return on Assets (ROA),,0.193,0.2082,0.1863
Return on Equity (ROE),,0.4708,0.4715,0.3882
Return on Invested Capital (ROIC),,0.336,0.3609,0.3023
Return on Capital Employed (ROCE),0.2429,0.2996,0.318,0.2965
Return on Tangible Assets,,0.1196,0.1313,0.1204
Income Quality Ratio,1.3702,1.2525,1.2241,1.2103
Net Income per EBT,0.8349,0.8617,0.8689,0.8102
Free Cash Flow to Operating Cash Flow Ratio,0.7455,0.7313,0.7317,0.6791
EBT to EBIT Ratio,0.9534,0.9681,0.9759,0.9784
EBIT to Revenue,0.389,0.437,0.4326,0.4307
