,2020,2021,2022,2023
Cash and Cash Equivalents,10896000000.0,847000000.0,1990000000.0,3389000000.0
Short Term Investments,1000000.0,10714000000.0,19218000000.0,9907000000.0
Cash and Short Term Investments,10897000000.0,11561000000.0,21208000000.0,13296000000.0
Accounts Receivable,1657000000.0,2429000000.0,4650000000.0,3827000000.0
Inventory,979000000.0,1826000000.0,2605000000.0,5159000000.0
Other Current Assets,157000000.0,239000000.0,366000000.0,791000000.0
Total Current Assets,13690000000.0,16055000000.0,28829000000.0,23073000000.0
"Property, Plant and Equipment",2292000000.0,2856000000.0,3607000000.0,4845000000.0
Goodwill,618000000.0,4193000000.0,4349000000.0,4372000000.0
Intangible Assets,49000000.0,2737000000.0,2339000000.0,1676000000.0
Long Term Investments,0.0,144000000.0,266000000.0,299000000.0
Tax Assets,548000000.0,806000000.0,1222000000.0,3396000000.0
Other Fixed Assets,118000000.0,2000000000.0,3575000000.0,3521000000.0
Fixed Assets,3625000000.0,12736000000.0,15358000000.0,18109000000.0
Other Assets,0.0,0.0,0.0,0.0
Total Assets,17315000000.0,28791000000.0,44187000000.0,41182000000.0
Accounts Payable,687000000.0,1201000000.0,1783000000.0,1193000000.0
Short Term Debt,91000000.0,999000000.0,0.0,1250000000.0
Tax Payables,61000000.0,61000000.0,0.0,467000000.0
Deferred Revenue,141000000.0,288000000.0,300000000.0,354000000.0
Other Current Liabilities,865000000.0,1437000000.0,2252000000.0,3766000000.0
Total Current Liabilities,1784000000.0,3925000000.0,4335000000.0,6563000000.0
Long Term Debt,2552000000.0,6598000000.0,11687000000.0,10605000000.0
Deferred Revenue Non Current,60000000.0,163000000.0,202000000.0,218000000.0
Deferred Tax Liabilities,29000000.0,241000000.0,245000000.0,247000000.0
Other Non Current Liabilities,686000000.0,971000000.0,1106000000.0,1448000000.0
Total Non Current Liabilities,3327000000.0,7973000000.0,13240000000.0,12518000000.0
Other Liabilities,0.0,0.0,0.0,0.0
Capital Lease Obligations,561000000.0,634000000.0,741000000.0,902000000.0
Total Liabilities,5111000000.0,11898000000.0,17575000000.0,19081000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,1000000.0,1000000.0,3000000.0,2000000.0
Retained Earnings,14971000000.0,18908000000.0,16235000000.0,10171000000.0
Accumulated Other Comprehensive Income,1000000.0,19000000.0,-11000000.0,-43000000.0
Other Total Shareholder Equity,-2769000000.0,-2035000000.0,10385000000.0,11971000000.0
Total Shareholder Equity,12204000000.0,16893000000.0,26612000000.0,22101000000.0
Total Equity,12204000000.0,16893000000.0,26612000000.0,22101000000.0
Total Liabilities and Shareholder Equity,17315000000.0,28791000000.0,44187000000.0,41182000000.0
Minority Interest,0.0,0.0,0.0,0.0
Total Liabilities and Equity,17315000000.0,28791000000.0,44187000000.0,41182000000.0
Total Investments,1000000.0,10858000000.0,19484000000.0,10206000000.0
Total Debt,2552000000.0,7597000000.0,11687000000.0,11855000000.0
Net Debt,-8344000000.0,6750000000.0,9697000000.0,8466000000.0
