,2020,2021,2022,2023
Net Income,2796000000.0,4332000000.0,9752000000.0,4368000000.0
Depreciation and Amortization,381000000.0,1098000000.0,1174000000.0,1544000000.0
Deferred Income Tax,18000000.0,-282000000.0,-406000000.0,-2164000000.0
Stock Based Compensation,844000000.0,1397000000.0,2004000000.0,2709000000.0
Change in Working Capital,717000000.0,-703000000.0,-3363000000.0,-2207000000.0
Accounts Receivables,-233000000.0,-550000000.0,-2215000000.0,822000000.0
Inventory,597000000.0,-524000000.0,-774000000.0,-2554000000.0
Accounts Payables,194000000.0,363000000.0,568000000.0,-551000000.0
Other Working Capital,159000000.0,8000000.0,-942000000.0,76000000.0
Other Non Cash Items,5000000.0,-20000000.0,-53000000.0,1391000000.0
Cash Flow from Operations,4761000000.0,5822000000.0,9108000000.0,5641000000.0
"Property, Plant and Equipment",-489000000.0,-1128000000.0,-976000000.0,-1833000000.0
Acquisitions,9000000.0,-8524000000.0,-263000000.0,-49000000.0
Purchases of Investments,-1475000000.0,-19342000000.0,-24811000000.0,-11974000000.0
Sales of Investments,8109000000.0,9319000000.0,16220000000.0,21231000000.0
Other Investing Activities,-9000000.0,0.0,0.0,0.0
Cash Flow from Investing,6145000000.0,-19675000000.0,-9830000000.0,7375000000.0
Debt Repayment,0.0,0.0,-1000000000.0,0.0
Common Stock Issued,0.0,0.0,0.0,0.0
Common Stock Purchased,-1579000000.0,0.0,0.0,-10039000000.0
Dividends Paid,-390000000.0,-395000000.0,-399000000.0,-398000000.0
Other Financing Activities,1177000000.0,4199000000.0,3264000000.0,-1180000000.0
Cash Flow from Financing,-792000000.0,3804000000.0,1865000000.0,-11617000000.0
Forex Changes on Cash,0.0,0.0,0.0,0.0
Net Change in Cash,10114000000.0,-10049000000.0,1143000000.0,1399000000.0
Cash End of Period,10896000000.0,847000000.0,1990000000.0,3389000000.0
Cash Beginning of Period,782000000.0,10896000000.0,847000000.0,1990000000.0
Operating Cash Flow,4761000000.0,5822000000.0,9108000000.0,5641000000.0
Capital Expenditure,-489000000.0,-1128000000.0,-976000000.0,-1833000000.0
Free Cash Flow,4272000000.0,4694000000.0,8132000000.0,3808000000.0
